Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1855.0
FDW14,OUT017,1573.0
NCN55,OUT010,1897.0
FDQ58,OUT017,2605.0
FDY38,OUT027,5171.0
FDH56,OUT046,1914.0
FDL48,OUT018,572.0
FDC48,OUT027,2765.0
FDN33,OUT045,1553.0
FDA36,OUT017,3073.0
FDT44,OUT017,1973.0
FDQ56,OUT045,1345.0
NCC54,OUT019,1851.0
FDU11,OUT049,2035.0
DRL59,OUT013,874.0
FDM24,OUT049,2563.0
FDI57,OUT045,3141.0
DRC12,OUT018,2754.0
NCM42,OUT027,3195.0
FDA46,OUT010,1111.0
FDA31,OUT013,2778.0
NCJ31,OUT035,3901.0
FDG52,OUT046,792.0
NCL19,OUT019,393.0
FDS10,OUT035,3049.0
FDX22,OUT010,1453.0
NCF19,OUT035,941.0
NCE06,OUT046,2535.0
DRC27,OUT046,3849.0
FDE21,OUT035,2041.0
NCR42,OUT019,-1353.0
FDX51,OUT018,2856.0
NCR06,OUT018,424.0
FDU31,OUT027,4941.0
FDU59,OUT017,2693.0
FDR03,OUT027,4773.0
FDS49,OUT027,2741.0
FDD48,OUT010,-83.0
NCF18,OUT017,3109.0
NCD43,OUT027,3103.0
NCD54,OUT018,1984.0
FDY19,OUT010,-49.0
NCY54,OUT017,2797.0
NCL19,OUT018,2024.0
FDP23,OUT010,1529.0
FDC26,OUT013,1790.0
FDR14,OUT010,-1083.0
NCS41,OUT035,3069.0
FDF41,OUT035,4053.0
FDU34,OUT046,1994.0
DRH11,OUT046,911.0
FDM03,OUT013,1742.0
FDS31,OUT017,3049.0
FDJ20,OUT017,2077.0
FDV44,OUT027,4493.0
FDG02,OUT049,3107.0
FDA09,OUT013,2894.0
FDT04,OUT013,662.0
FDL58,OUT019,2296.0
FDE52,OUT045,1513.0
FDW12,OUT035,2529.0
FDL51,OUT017,3545.0
NCY42,OUT027,3691.0
FDR07,OUT017,1637.0
FDN40,OUT045,2421.0
FDB35,OUT027,2937.0
FDA22,OUT017,2725.0
NCL06,OUT046,4127.0
FDI35,OUT013,2906.0
NCW42,OUT045,3481.0
NCX06,OUT049,2955.0
FDC37,OUT027,3179.0
FDZ14,OUT018,1712.0
DRG49,OUT049,3955.0
NCG06,OUT045,4033.0
DRC36,OUT045,2785.0
FDV21,OUT019,28.0
FDB53,OUT046,2345.0
DRP47,OUT019,2028.0
FDA14,OUT013,2334.0
DRC24,OUT035,2593.0
FDW21,OUT018,1406.0
NCH29,OUT046,1567.0
FDU58,OUT013,3078.0
FDY27,OUT017,2937.0
FDV56,OUT035,1973.0
FDT59,OUT046,3661.0
FDB23,OUT046,3634.0
FDR49,OUT045,729.0
FDB03,OUT010,1887.0
FDN39,OUT045,2673.0
FDX02,OUT027,4977.0
FDQ16,OUT027,3173.0
FDU35,OUT018,1318.0
NCT29,OUT013,1954.0
FDZ27,OUT046,826.0
FDN57,OUT017,2329.0
FDA03,OUT018,2088.0
FDZ36,OUT045,2977.0
NCU05,OUT013,1314.0
FDT39,OUT018,2172.0
FDK60,OUT017,1709.0
FDZ25,OUT017,2857.0
FDG12,OUT046,2047.0
DRB01,OUT019,1123.0
NCC43,OUT027,5383.0
FDX13,OUT019,2036.0
FDM22,OUT049,1027.0
FDJ03,OUT027,2291.0
FDU14,OUT018,3666.0
FDB33,OUT010,619.0
FDP27,OUT046,2995.0
FDO38,OUT010,-691.0
FDE28,OUT027,5143.0
FDO27,OUT035,1705.0
DRL23,OUT027,3159.0
FDS28,OUT046,956.0
FDX24,OUT013,1534.0
FDZ02,OUT035,1769.0
FDL46,OUT045,1857.0
FDS60,OUT027,4285.0
NCO06,OUT017,621.0
FDO16,OUT035,1545.0
FDC60,OUT049,1531.0
FDA48,OUT018,3176.0
FDZ36,OUT027,4447.0
FDK27,OUT045,1929.0
FDW23,OUT018,348.0
FDM14,OUT018,1492.0
FDM14,OUT013,1774.0
FDW60,OUT018,2596.0
FDE21,OUT013,1894.0
NCM42,OUT035,1909.0
FDY59,OUT010,-381.0
DRI49,OUT049,1363.0
FDT28,OUT019,500.0
FDQ22,OUT018,384.0
FDR60,OUT049,1319.0
FDC50,OUT019,-422.0
FDV24,OUT013,2438.0
DRF48,OUT010,1023.0
FDQ47,OUT046,619.0
DRN36,OUT049,1663.0
NCY06,OUT035,2197.0
FDE52,OUT035,1681.0
NCB54,OUT045,2001.0
NCF31,OUT035,2581.0
FDJ08,OUT027,4431.0
NCC07,OUT017,1789.0
NCD19,OUT027,2363.0
FDL46,OUT049,2007.0
FDM20,OUT045,3893.0
NCI06,OUT010,925.0
DRM11,OUT035,4245.0
NCH07,OUT018,2196.0
FDS23,OUT013,2054.0
FDO49,OUT018,582.0
FDS35,OUT049,1151.0
DRK39,OUT045,1329.0
DRI39,OUT049,1027.0
FDV04,OUT017,2621.0
NCN14,OUT035,3037.0
FDH08,OUT013,3682.0
FDS20,OUT046,2909.0
FDV40,OUT049,1355.0
FDZ48,OUT010,-159.0
FDS24,OUT027,2899.0
FDK44,OUT049,2851.0
FDS48,OUT045,2393.0
FDK26,OUT010,1107.0
FDD23,OUT045,3029.0
NCH54,OUT017,2637.0
NCP14,OUT010,-259.0
FDM60,OUT010,-1191.0
FDV24,OUT017,2505.0
FDH08,OUT018,3334.0
FDS12,OUT027,3435.0
FDR39,OUT027,4303.0
FDP12,OUT027,2113.0
DRF60,OUT027,5187.0
FDC09,OUT035,1869.0
FDF50,OUT018,2868.0
FDG28,OUT035,4085.0
NCE19,OUT017,973.0
NCM53,OUT010,-199.0
NCN18,OUT049,1859.0
FDF32,OUT035,3337.0
FDF11,OUT013,3874.0
DRI59,OUT049,3675.0
NCG54,OUT035,2837.0
FDM44,OUT046,1631.0
FDT57,OUT018,3454.0
FDV24,OUT046,2411.0
FDI50,OUT019,1780.0
FDS09,OUT035,1045.0
NCC31,OUT027,3903.0
FDQ07,OUT019,1592.0
FDC22,OUT017,3157.0
FDZ56,OUT046,2694.0
FDZ40,OUT019,-1014.0
FDS46,OUT027,3385.0
DRD24,OUT045,2217.0
FDV45,OUT017,3093.0
FDL26,OUT045,2465.0
FDA56,OUT018,1690.0
FDN27,OUT046,1916.0
FDM20,OUT049,3987.0
FDO16,OUT017,1445.0
FDL03,OUT035,3333.0
FDE58,OUT046,1908.0
FDI02,OUT027,3273.0
NCC55,OUT019,-1231.0
FDR03,OUT018,3048.0
FDB14,OUT017,1625.0
FDR45,OUT013,3846.0
NCN07,OUT017,2157.0
FDM51,OUT019,-180.0
FDT52,OUT027,5361.0
FDL26,OUT046,2457.0
NCZ42,OUT046,3787.0
DRI47,OUT019,418.0
FDW40,OUT013,2302.0
FDN34,OUT046,2747.0
FDS01,OUT035,3009.0
NCG55,OUT045,1857.0
FDC11,OUT035,1549.0
FDX35,OUT018,3330.0
NCB06,OUT046,2527.0
FDR09,OUT019,2180.0
FDC53,OUT017,1661.0
FDY45,OUT013,4066.0
FDA22,OUT010,753.0
FDE02,OUT035,1677.0
FDW21,OUT045,1685.0
FDV34,OUT046,1256.0
FDS59,OUT049,1895.0
NCW17,OUT017,2133.0
NCK54,OUT046,1947.0
FDG17,OUT019,2016.0
FDG35,OUT017,2909.0
FDD08,OUT010,-1285.0
NCO07,OUT017,3437.0
FDJ10,OUT010,341.0
FDW36,OUT017,1761.0
FDW21,OUT010,-273.0
FDY19,OUT017,1985.0
DRE03,OUT013,798.0
NCC55,OUT049,747.0
FDH52,OUT010,-827.0
FDO09,OUT017,4305.0
FDU43,OUT045,3825.0
FDX09,OUT010,841.0
FDH40,OUT019,-534.0
FDW58,OUT017,1793.0
FDC47,OUT017,3661.0
NCR41,OUT035,1701.0
DRG49,OUT035,4009.0
FDC52,OUT027,3937.0
FDY13,OUT046,1216.0
FDY35,OUT013,806.0
FDI35,OUT017,2989.0
NCU18,OUT049,2335.0
FDY33,OUT018,2270.0
FDC15,OUT027,3905.0
FDU01,OUT049,3127.0
NCU42,OUT046,2697.0
NCV29,OUT018,2528.0
NCY30,OUT017,2989.0
FDQ46,OUT049,1883.0
FDG58,OUT027,3935.0
FDK33,OUT017,3477.0
NCD07,OUT045,1857.0
NCX29,OUT027,3711.0
NCT42,OUT013,2378.0
DRN59,OUT035,929.0
FDI44,OUT035,1433.0
FDA45,OUT049,2911.0
FDP31,OUT045,1073.0
FDY01,OUT046,1858.0
FDT09,OUT018,1892.0
DRH03,OUT027,2967.0
FDA36,OUT018,2684.0
NCF31,OUT017,2517.0
FDG14,OUT049,2563.0
FDG28,OUT027,5387.0
FDU14,OUT049,4067.0
FDY47,OUT019,244.0
FDI56,OUT049,1539.0
DRD01,OUT013,978.0
FDM22,OUT046,959.0
FDH33,OUT013,710.0
DRZ24,OUT013,1914.0
NCQ38,OUT046,1689.0
FDO16,OUT027,2811.0
FDU07,OUT027,3815.0
NCB07,OUT013,3082.0
FDU48,OUT045,2089.0
NCM43,OUT045,2601.0
FDR31,OUT010,421.0
DRK49,OUT018,398.0
NCI30,OUT010,1921.0
DRD60,OUT017,2961.0
NCG19,OUT046,3681.0
FDH12,OUT035,1833.0
FDM32,OUT035,1669.0
FDM27,OUT035,2669.0
NCU53,OUT027,4071.0
NCQ18,OUT046,1553.0
FDS10,OUT013,2878.0
FDB33,OUT027,3953.0
FDI12,OUT013,1442.0
NCW42,OUT013,3510.0
NCC06,OUT018,1752.0
FDW02,OUT017,2165.0
NCD43,OUT017,1765.0
FDM57,OUT018,1088.0
FDA58,OUT017,3841.0
FDK56,OUT046,2930.0
FDP52,OUT045,3693.0
FDW20,OUT018,1708.0
FDS52,OUT049,1723.0
NCT29,OUT018,1604.0
NCL54,OUT013,2834.0
FDC05,OUT045,3157.0
FDF34,OUT035,3345.0
FDP03,OUT027,3479.0
FDD32,OUT010,-519.0
FDZ10,OUT045,2029.0
FDZ40,OUT035,1053.0
FDD51,OUT018,432.0
NCY30,OUT019,953.0
FDP58,OUT017,3521.0
FDV49,OUT017,4277.0
FDY24,OUT019,-1018.0
NCO55,OUT017,1781.0
FDR13,OUT017,2013.0
FDS51,OUT017,1121.0
FDP26,OUT045,1657.0
NCB54,OUT027,3491.0
FDF32,OUT017,3233.0
FDN31,OUT018,2700.0
DRM48,OUT017,669.0
FDN20,OUT049,2803.0
DRL01,OUT046,3721.0
FDV56,OUT049,1883.0
DRH13,OUT027,3167.0
FDA03,OUT017,2473.0
FDF47,OUT027,4975.0
FDX32,OUT046,2373.0
FDX57,OUT049,1711.0
NCA30,OUT045,2977.0
FDO49,OUT013,898.0
FDL04,OUT019,-250.0
DRM48,OUT035,761.0
FDR16,OUT013,3418.0
NCC19,OUT018,2740.0
NCE42,OUT045,3721.0
FDY24,OUT017,1029.0
FDH19,OUT049,2891.0
FDJ46,OUT013,2794.0
FDN45,OUT010,1593.0
FDY08,OUT035,2397.0
FDZ37,OUT035,1641.0
NCT30,OUT045,737.0
DRY23,OUT018,424.0
NCZ30,OUT018,1652.0
FDC44,OUT018,1492.0
FDB45,OUT035,1853.0
FDY04,OUT013,2662.0
FDM27,OUT046,2546.0
FDZ43,OUT017,3957.0
FDT39,OUT019,564.0
NCC06,OUT019,119.0
FDL15,OUT027,3883.0
FDL57,OUT017,4205.0
FDU08,OUT046,1601.0
FDK40,OUT017,4305.0
FDQ12,OUT010,1703.0
FDS48,OUT017,2517.0
FDP09,OUT045,3345.0
FDW21,OUT049,1771.0
FDY25,OUT035,3061.0
