Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.8693989337448
FDW14,OUT017,1592.7688951899554
NCN55,OUT010,1823.6013783761682
FDQ58,OUT017,2547.679276447831
FDY38,OUT027,5086.542414645026
FDH56,OUT046,1942.3258470147555
FDL48,OUT018,681.7314555943088
FDC48,OUT027,2804.9198375672
FDN33,OUT045,1541.2643297624784
FDA36,OUT017,3052.2996379990996
FDT44,OUT017,2005.842672684099
FDQ56,OUT045,1358.0512315298843
NCC54,OUT019,1818.1137922670482
FDU11,OUT049,2076.8606061266146
DRL59,OUT013,962.7330823607394
FDM24,OUT049,2541.959170287586
FDI57,OUT045,3047.6065530079404
DRC12,OUT018,2727.6057786443075
NCM42,OUT027,3195.20901044207
FDA46,OUT010,1129.7448144244154
FDA31,OUT013,2781.937283004602
NCJ31,OUT035,3802.979952654882
FDG52,OUT046,863.6519178111237
NCL19,OUT019,382.4697158240881
FDS10,OUT035,2986.820232432637
FDX22,OUT010,1453.6096116549747
NCF19,OUT035,998.6193496975208
NCE06,OUT046,2519.545392429255
DRC27,OUT046,3768.3483321305894
FDE21,OUT035,2045.2165475382044
NCR42,OUT019,-1252.5488243171503
FDX51,OUT018,2841.5751233673595
NCR06,OUT018,511.7253275511961
FDU31,OUT027,4871.43891476004
FDU59,OUT017,2685.7663147682874
FDR03,OUT027,4667.13342242382
FDS49,OUT027,2768.6672839862345
FDD48,OUT010,-11.192004636743377
NCF18,OUT017,3084.1278267828543
NCD43,OUT027,3103.3540302322667
NCD54,OUT018,2008.7343334018408
FDY19,OUT010,24.15647831788442
NCY54,OUT017,2783.9962760746503
NCL19,OUT018,2024.597035702495
FDP23,OUT010,1510.0048523372552
FDC26,OUT013,1847.6817209428525
FDR14,OUT010,-930.5339299370712
NCS41,OUT035,2987.0706203084605
FDF41,OUT035,3971.494094089752
FDU34,OUT046,2004.543509587181
DRH11,OUT046,983.8392213870828
FDM03,OUT013,1734.1614473285078
FDS31,OUT017,2966.222547584241
FDJ20,OUT017,2117.365611948231
FDV44,OUT027,4426.797852624513
FDG02,OUT049,3080.48322018863
FDA09,OUT013,2877.2243093797247
FDT04,OUT013,743.3192360114625
FDL58,OUT019,2223.035740905917
FDE52,OUT045,1472.5324117273426
FDW12,OUT035,2500.5446205452113
FDL51,OUT017,3499.840381293379
NCY42,OUT027,3668.219931759732
FDR07,OUT017,1705.0084055765717
FDN40,OUT045,2342.2087302501977
FDB35,OUT027,2974.744827765025
FDA22,OUT017,2709.296829348462
NCL06,OUT046,4019.924401700326
FDI35,OUT013,2888.5740995675715
NCW42,OUT045,3358.936607617851
NCX06,OUT049,2926.4308254616653
FDC37,OUT027,3207.1323699485074
FDZ14,OUT018,1760.2274621395816
DRG49,OUT049,3880.5374321453705
NCG06,OUT045,3875.8397253103226
DRC36,OUT045,2697.299319492894
FDV21,OUT019,87.95550914491128
FDB53,OUT046,2335.343276838021
DRP47,OUT019,1968.0517801602928
FDA14,OUT013,2345.574726738427
DRC24,OUT035,2559.5879630066906
FDW21,OUT018,1432.3514629971232
NCH29,OUT046,1574.153693968945
FDU58,OUT013,3038.057455613177
FDY27,OUT017,2889.6433164520226
FDV56,OUT035,1978.8029344029223
FDT59,OUT046,3588.068671803154
FDB23,OUT046,3557.3545369142325
FDR49,OUT045,760.4481908704325
FDB03,OUT010,1879.6187651483365
FDN39,OUT045,2601.0089859614914
FDX02,OUT027,4892.607881741595
FDQ16,OUT027,3195.499240462948
FDU35,OUT018,1350.7077901694754
NCT29,OUT013,1984.441120630813
FDZ27,OUT046,871.3275028069307
FDN57,OUT017,2352.7142810854302
FDA03,OUT018,2097.0513682696665
FDZ36,OUT045,2892.812409326938
