Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997859999991
FDW14,OUT017,1435.9121343750003
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2649.110232432432
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.149381714286
FDL48,OUT018,713.8586545454547
FDC48,OUT027,2517.8820884848487
FDN33,OUT045,1879.257011612902
FDA36,OUT017,2752.9709346534655
FDT44,OUT017,1922.149381714286
FDQ56,OUT045,1435.9121343750003
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2142.743570940172
DRL59,OUT013,713.8586545454547
FDM24,OUT049,2286.4132673684217
FDI57,OUT045,3130.0049049504933
DRC12,OUT018,2893.8398258992806
NCM42,OUT027,3242.0620715328464
FDA46,OUT010,482.69954262295096
FDA31,OUT013,2778.5893175257747
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.48208181818177
FDS10,OUT035,3384.1080642424236
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2503.501336448599
DRC27,OUT046,3643.5197259842507
FDE21,OUT035,1922.149381714286
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.8398258992806
NCR06,OUT018,507.046403669725
FDU31,OUT027,5329.314724444446
FDU59,OUT017,2503.501336448599
FDR03,OUT027,5329.314724444446
FDS49,OUT027,2517.8820884848487
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.8820884848487
NCD54,OUT018,1752.25244
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2778.5893175257747
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1649.2997859999991
FDR14,OUT010,165.91858165137606
NCS41,OUT035,3384.1080642424236
FDF41,OUT035,3737.295775182482
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.032388304093
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.1080642424236
FDJ20,OUT017,2142.743570940172
FDV44,OUT027,5329.314724444446
FDG02,OUT049,2752.9709346534655
FDA09,OUT013,3259.56208490566
FDT04,OUT013,507.046403669725
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1435.9121343750003
FDW12,OUT035,2286.4132673684217
FDL51,OUT017,3643.5197259842507
NCY42,OUT027,3242.0620715328464
FDR07,OUT017,1573.0706258064515
FDN40,OUT045,2286.4132673684217
FDB35,OUT027,2517.8820884848487
FDA22,OUT017,2286.4132673684217
NCL06,OUT046,4034.3003068965527
FDI35,OUT013,3384.1080642424236
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.5893175257747
FDC37,OUT027,2517.8820884848487
FDZ14,OUT018,1752.25244
DRG49,OUT049,3454.062559154929
NCG06,OUT045,4034.3003068965527
DRC36,OUT045,3259.56208490566
FDV21,OUT019,281.48208181818177
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727273
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.4778427083343
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1682.212238235294
FDU58,OUT013,2893.8398258992806
FDY27,OUT017,2552.005235185185
FDV56,OUT035,1682.212238235294
FDT59,OUT046,3945.432567213115
FDB23,OUT046,3945.432567213115
FDR49,OUT045,798.2176035398231
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444446
FDQ16,OUT027,2517.8820884848487
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1987.251048648648
FDZ27,OUT046,798.2176035398231
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.1080642424236
NCU05,OUT013,1284.789766871165
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.69954262295096
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727273
FDM22,OUT049,796.6402682539682
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.95258292683
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137606
FDE28,OUT027,6280.89088
FDO27,OUT035,1879.257011612902
DRL23,OUT027,2517.8820884848487
FDS28,OUT046,935.032388304093
FDX24,OUT013,1435.9121343750003
FDZ02,OUT035,1682.212238235294
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444446
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1435.9121343750003
FDC60,OUT049,1458.455008053692
FDA48,OUT018,3327.95258292683
